false,58,01/04/1953
Cars,true,44
false,18,12/14/1949
true,19,07/30/1980
false,56,01/22/1969
true,46,03/01/1992
true,53,08/04/1957
false,51,11/05/2045
false,61,06/23/2048
true,51,09/01/1983
true,26,08/31/1916
true,52,07/17/1921
true,31,05/05/1956
false,53,07/19/2020
false,48,02/17/1970
false,41,01/31/2052
true,61,03/03/2011
false,38,12/20/1952
true,22,07/09/1976
true,58,05/13/1907
false,37,03/18/2041
true,48,05/14/2035
true,54,07/29/1997
true,34,06/14/1937
true,44,02/15/1929
true,64,01/04/2033
false,32,04/01/1912
true,50,06/11/1913
false,36,12/29/2036
false,51,12/28/2034
true,45,10/07/2069
false,59,06/25/1909
true,63,07/20/1930
false,65,06/07/2038
true,43,03/01/2004
false,31,04/30/1958
true,52,08/22/1932
false,57,01/04/2059
true,18,07/18/2020
true,35,06/08/2066
false,30,02/11/1981
true,18,03/29/1904
true,62,12/14/1944
false,42,05/14/1919
false,50,07/25/1924
true,39,01/09/1943
false,22,05/03/1924
false,58,09/12/1901
true,63,05/18/1942
true,27,09/04/1981
true,60,06/14/1913
false,56,03/06/1931
false,46,03/28/2064
false,55,02/25/1998
true,25,11/01/1994
true,58,05/03/1987
true,19,01/02/2024
false,51,10/02/1948
false,22,06/28/1964
false,20,08/31/1934
true,30,02/16/1972
true,43,04/24/2024
true,37,07/15/1957
false,60,10/07/2044
true,62,02/25/1994
true,50,09/12/2046
false,18,11/10/1990
false,50,07/29/1983
false,40,12/30/1908
false,44,11/11/2069
false,44,11/13/2067
true,21,01/05/1961
true,64,05/20/1951
true,26,11/29/2017
true,20,11/29/1942
false,28,04/30/2069
true,57,02/10/1995
false,21,09/30/2035
true,55,04/12/1966
false,35,04/06/2070
true,32,07/27/2000
false,51,03/12/2019
false,26,12/07/2058
false,38,08/14/2020
false,51,07/05/1965
true,64,06/19/2046
true,47,01/14/1994
false,59,09/07/1977
false,39,03/22/1965
false,54,06/08/1935
true,46,09/16/1908
false,38,10/28/2007
false,43,04/23/2044
true,30,02/19/2060
false,55,02/25/1940
true,41,05/02/1956
true,62,09/07/1999
